,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
80,Thu Nov 04 23:28:56 +0000 2021,@DebbieB18026946 @vuichard_kellie @LifeofNana @mishacollins @JCMaine1 @TheRoseRichards @CasIsLoved @allyjay666 @GISH Love ya 😘😘,en,1636068536663, love ya ,love ya
82,Thu Nov 04 23:42:45 +0000 2021,"@tumblr @mishacollins 🍪🥛🍪🥛🍪🥛🍪🥛🍪🥛🍪🥛
💗😎💗😇💗😎💗😇💗😎💗😇
Prepping for the big day. I swear this is bigger than C.mas 4 me..!",en,1636069365658, prepping for the big day i swear this is bigger than c mas 4 me ,prepping big day swear bigger c mas 4
86,Fri Nov 05 00:54:33 +0000 2021,@SlusanSusan @tumblr @mishacollins cope.,en,1636073673663, cope ,cope
87,Fri Nov 05 01:27:50 +0000 2021,@tumblr @mishacollins @tumblr why would you promote a post like this where the op is censoring the main actor's name?,en,1636075670666, why would you promote a post like this where the op is censoring the main actor s name ,would promote post like op censor main actor name
95,Fri Nov 05 06:29:56 +0000 2021,"""I love lamp.""
Disobedience 
#Destiel #DestielAnniversary #Supernatural #mishacollins #JensenAckles https://t.co/HNy7iHBq30",en,1636093796662, i love lamp disobedience ,love lamp disobedience
96,Fri Nov 05 07:09:31 +0000 2021,@Lish1381 @mishacollins Fan of your boyfriend now🤣,en,1636096171662, fan of your boyfriend now ,fan boyfriend
105,Fri Nov 05 12:39:32 +0000 2021,"And today I turn the big 4-0
Any birthday love from some of my absolute favorite folks in the twitterverse?
@TineMarieRiis @SaraMoniCosplay @mishacollins @straczynski @NathanFillion @VonMiller @thekidmcmanus @AniMiaOfficial @AlanTudyk @JewelStaite",en,1636115972666,and today i turn the big 4 0 any birthday love from some of my absolute favorite folks in the twitterverse ,today turn big 4 0 birthday love absolute favorite folks twitterverse
110,Fri Nov 05 17:06:53 +0000 2021,"A year ago, my eyes were rivers in flood..
I had never cried like this for a ""character"", the one and only @mishacollins could make it possible, because Castiel for us wasn't just a character, HE made it REAL! 

#castiel #CastielForever https://t.co/buPBg0jOCs",en,1636132013663,a year ago my eyes were rivers in flood i had never cried like this for a character the one and only could make it possible because castiel for us wasn t just a character he made it real ,year ago eye rivers flood never cry like character one could make possible castiel us character make real
111,Fri Nov 05 17:50:04 +0000 2021,"Oh hell yeah ❤️ 
#DestielAnniversary 
#DeanCasAnniversary #deancas #Castiel #Dean @mishacollins @JensenAckles",en,1636134604663,oh hell yeah ,oh hell yeah
112,Fri Nov 05 18:10:38 +0000 2021,@GranuailleLing @mishacollins the betrayed look he gave us when we did what he requested was priceless,en,1636135838666, the betrayed look he gave us when we did what he requested was priceless,betray look give us request priceless
122,Fri Nov 05 23:32:20 +0000 2021,"I just moved, and I’m pretty excited about it my Supernatural wall!Especially since some of it isn’t even Supernatural by nature I just found them and they fit so well I couldn’t resist! “All the Pies”, “Don’t Wake the Bear”, and Musical Angel Wings! @mishacollins @JensenAckles https://t.co/13DhAAayGd",en,1636155140660,i just moved and i m pretty excited about it my supernatural wall especially since some of it isn t even supernatural by nature i just found them and they fit so well i couldn t resist all the pies don t wake the bear and musical angel wings ,move pretty excite supernatural wall especially since even supernatural nature find fit well resist pies wake bear musical angel wing
124,Sat Nov 06 03:52:23 +0000 2021,@SDeeg13 @peakbaio @Lish1381 @eldestdaughterr @casdeanhell @bbntrenchcoat @jennmpotter @mishacollins Oh Susan 😭😭 sending you hugs babes!,en,1636170743662, oh susan sending you hugs babes ,oh susan send hug babes
132,Sat Nov 06 16:32:00 +0000 2021,"Why can't we have this every convention?

#SPNDenver 
#mishacollins
#JensenAckles https://t.co/aHJOlb2HkZ",en,1636216320666,why can t we have this every convention ,every convention
134,Sat Nov 06 18:57:33 +0000 2021,@mishacollins I’m a translator who helps people from CIS countries to be on your panels even remotely. Thank you for everything. You’re my number one. I SWEAR. https://t.co/G1lsa4pxe9,en,1636225053659, i m a translator who helps people from cis countries to be on your panels even remotely thank you for everything you re my number one i swear ,translator help people cis countries panel even remotely thank everything number one swear
